codebookOrder,overallOrder,order,variable,dataset,label,IRI,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt,JZ cmments,
103,83,,drh_sunkeyes,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","Sunken eyes, more than normal ",,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Sunken eyes. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",Multifilter,"http://purl.obolibrary.org/obo/EUPATH_0010413 is 'Eligibility criteria', not  'Symptoms since illness began', shall assign new IRI?",
104,84,,drh_thirst,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Very thirsty ,http://purl.obolibrary.org/obo/EUPATH_0015061,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Very thirsty. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA, 9=NOT IN CODEBOOK",Multifilter,This variable is under 'Symptoms since illness began'. ,
105,85,,drh_vomit,gems1_huas_data.sas7bdat,Vomiting 3 or more times per day ,http://purl.obolibrary.org/obo/EUPATH_0015060,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Vomiting (3 or more times per day). Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,This variable is under 'Symptoms since illness began'. ,
106,86,,drh_wrnkskin,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Wrinkled skin,,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Wrinkled skin. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",Multifilter,,
96,87,,drh_drink,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Unable to drink or drank poorly,http://purl.obolibrary.org/obo/EUPATH_0015063,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",Multifilter,Change label from 'Unable to drink or drank poorly' to 'Unable to drink' ,
99,88,,drh_irritable,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Irritable/less playful,,,,Symptoms since illness began or during diarrhea,http://purl.obolibrary.org/obo/EUPATH_0010357,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",Multifilter,,
235,89,,q27_eyes_skin,gems1_huas_data.sas7bdat,Sunken eyes and loss of skin turgor,,,,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,D27.1: Diarrhea history. Sunken eyes & loss of skin turgor. Only complete for children who had diarrhea in the last 2 weeks,"1=Sunken eyes only, 2=Wrinkled skin only, 3=Sunken eyes and wrinkled skin, 4=Neither, 5=Unknown",,,
92,90,,drh_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Diarrheal episode duration (days) ,http://purl.obolibrary.org/obo/EUPATH_0010238,,,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,D28: Diarrhea history. How many days did the child have diarrhea. Only complete for children who had diarrhea in the last 2 weeks,,,,
91,91,,drh_cont,gems1_huas_data.sas7bdat,Child currently having diarrhea,,,,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,D28.1: Diarrhea history. Is the child still having diarrhea. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,
94,92,,drh_daysago,gems1_huas_data.sas7bdat,Child days since diarrhea,,,,Diarrheal episodes,http://purl.obolibrary.org/obo/EUPATH_0010016,"D28.2: Diarrhea history. If no, how many days ago did the child have diarrhea (3 or more abnormally loose or watery stools) for the last time. Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes""",,,,
,93,,,,Reason for not seeking care,,,,Previous diarrheal care,http://purl.obolibrary.org/obo/EUPATH_0010013,,,E30 Category,,
185,94,,noseek_noneed,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Child did not seem to need care,,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Child did not seem to need care. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
189,95,,noseek_toofar,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Clinic too far from home,,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Clinic too far from home. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
192,96,,noseek_trvlcost,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Cost for travel too high ,,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Cost for travel too high. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
191,97,,noseek_trtmtcost,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Cost for treatment too high,,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Cost for treatment too high. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
194,98,,noseek_work,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Could not take time off work,,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Could not take time off from work. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
188,99,,noseek_politic,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","Local situation (weather, natural, or political reasons)",,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
193,100,,noseek_weather,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat","Local situation (weather, natural, or political reasons)",,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Local situation (weather, natural, or political reasons). Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
186,101,,noseek_nothappy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Not happy with clinical services in area,,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Not happy with clinical services in the area. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
187,102,,noseek_othrchld,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Other children at home could not be left alone,,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Other children at home could not be left alone. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
190,103,,noseek_trnsprt,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Unable to find transport,,,,Reason for not seeking care,,"E30: Health care utilization. Multifilter: If you did not seek care outside your home, what were the reasons? Unable to find transport. Skip if E29=""yes"". Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
,104,,,,Rank order sought care,,,,Previous diarrheal care,http://purl.obolibrary.org/obo/EUPATH_0010013,,,E31 Category,,
269,105,,rank_remdy,gems1_huas_data.sas7bdat,Bought a remedy/drug at the shop/market,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Bought a remedy/drug at the shop/market. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
264,106,,rank_friend,gems1_huas_data.sas7bdat,Friend or relative ,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Friend/relative. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
260,107,,rank_ctr1,gems1_huas_data.sas7bdat,Hospital/center of first choice,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 1st choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
261,108,,rank_ctr2,gems1_huas_data.sas7bdat,Hospital/center of second choice,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
262,109,,rank_ctr3,gems1_huas_data.sas7bdat,Hospital/ceter of third choice,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 3nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
268,110,,rank_privdoc,gems1_huas_data.sas7bdat,Licensed practitioner/private doctor,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Licensed practitioner/private doctor (not at hospital). Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
266,111,,rank_othr,gems1_huas_data.sas7bdat,Other,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Other, specify. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
267,112,,rank_pharm,gems1_huas_data.sas7bdat,Pharmacy,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Pharmacy. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
265,113,,rank_healr,gems1_huas_data.sas7bdat,Traditional healer ,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Traditional healer. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
263,114,,rank_doc,gems1_huas_data.sas7bdat,Unlicensed practitioner/village doctor/bush doctor/village health worker,,,,Rank order sought care,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Unlicensed practitioner/village doctor/bush doctor/village health worker. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,
140,115,,hospctr1,gems1_huas_data.sas7bdat,1st choice facility code,http://purl.obolibrary.org/obo/EUPATH_0010157,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.03: Health care utilization. Code for hospital of 1st choice. Only complete for children who had diarrhea in the last 2 weeks,,,,
141,116,,hospctr2,gems1_huas_data.sas7bdat,2nd choice facility code,http://purl.obolibrary.org/obo/EUPATH_0010163,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.04: Health care utilization. Code for hospital of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks,,,,
142,117,,hospctr3,gems1_huas_data.sas7bdat,3rd choice facility code,http://purl.obolibrary.org/obo/EUPATH_0010169,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.05: Health care utilization. Code for hospital of 3rd choice. Only complete for children who had diarrhea in the last 2 weeks,,,,
252,118,,q31_sentinel,gems1_huas_data.sas7bdat,Sentinal health center,,,,,,E31.06: Health care utilization. Sentinel health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,cannot find corresponding fields in CRF,
250,119,,q31_nonsentinel,gems1_huas_data.sas7bdat,Non-sentinal health center,,,,,,E31.07: Health care utilization. Non-sentinel health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,cannot find corresponding fields in CRF,
247,120,,q31_healthctr,gems1_huas_data.sas7bdat,Health center,,,,,,E31.08: Health care utilization. Health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes (sentinel or non-sentinel), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,cannot find corresponding fields in CRF,
251,121,,q31_professional,gems1_huas_data.sas7bdat,Professional care,,,,,,E31.09: Health care utilization. Professional care. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes (seninel, non-sentinel, licensed practitioner), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,cannot find corresponding fields in CRF,
246,122,,q31_healer,gems1_huas_data.sas7bdat,Traditional healer or unlicensed practitioner,,,,,,E31.10: Health care utilization. Traditional healer or unlicenced practitioner. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,cannot find corresponding fields in CRF,
285,123,,seek_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",1st choice hospital or health center ,http://purl.obolibrary.org/obo/EUPATH_0010155,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,"E31.12: Health care utilization. If you sought care, where did you go?","0, 1",,,
286,124,,seek_ctr1_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",1st choice facility code ,http://purl.obolibrary.org/obo/EUPATH_0010157,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.12: Health care utilization.,"402, 404, 405, 407, 408, 409, 410, 411, 438, 439, 446, ",,"what does it different from varible,E31.03, hospctr1?",
287,125,,seek_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,1st choice facility SHC ,http://purl.obolibrary.org/obo/EUPATH_0010159,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.12: Health care utilization.,"0, 1",,,
288,126,,seek_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",2nd choice hospital or health center ,http://purl.obolibrary.org/obo/EUPATH_0010161,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.12: Health care utilization.,"0, 1",,,
289,127,,seek_ctr2_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",2nd choice facility code ,http://purl.obolibrary.org/obo/EUPATH_0010163,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.12: Health care utilization.,"101, 102, 202, 301, 303, 402, 405, 407, 408, 411, 501",,"what does it different from varible, E31.04 hospctr2?",
290,128,,seek_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,2nd choice facility SHC ,http://purl.obolibrary.org/obo/EUPATH_0010165,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.12: Health care utilization.,1,,,
291,129,,seek_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",3rd choice hospital or health center ,http://purl.obolibrary.org/obo/EUPATH_0010167,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.12: Health care utilization.,"0, 1",,,
292,130,,seek_ctr3_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",3rd choice facility code ,http://purl.obolibrary.org/obo/EUPATH_0010169,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.12: Health care utilization.,"303, 402",,"what does it different from varible, E31.05, hospctr3?",
293,131,,seek_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,3rd choice facility SHC ,http://purl.obolibrary.org/obo/EUPATH_0010171,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.12: Health care utilization.,1,,,
294,132,,seek_friend,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Friend or relative ,http://purl.obolibrary.org/obo/EUPATH_0015094,,,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,E31.12: Health care utilization.,"0, 1",,Multifilter?,
295,133,,seek_healer,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Traditional healer ,http://purl.obolibrary.org/obo/EUPATH_0015095,,,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,E31.12: Health care utilization.,"0, 1",,Multifilter?,
296,134,,seek_licdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Licensed doctor,http://purl.obolibrary.org/obo/EUPATH_0015097,,,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,E31.12: Health care utilization.,"0, 1",,Multifilter?,
297,135,,seek_other,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Other hospital or health center ,http://purl.obolibrary.org/obo/EUPATH_0010173,,,Hospital Center,http://purl.obolibrary.org/obo/EUPATH_0010014,E31.12: Health care utilization.,"0, 1",,Multifilter?,
298,136,,seek_pharmacy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Pharmacy,http://purl.obolibrary.org/obo/EUPATH_0015093,,,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,E31.12: Health care utilization.,"0, 1",,Multifilter?,
299,137,,seek_remedy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Bought a remedy/drug at the shop/market,http://purl.obolibrary.org/obo/EUPATH_0015098,,,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,E31.12: Health care utilization.,"0, 1",,Multifilter?,
300,138,,seek_unlicdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Unlicensed doctor,http://purl.obolibrary.org/obo/EUPATH_0015096,,,Previously sought care,http://purl.obolibrary.org/obo/EUPATH_0010380,E31.12: Health care utilization.,"0, 1",,Multifilter?,
54,139,,dayseek,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Diarrheal day sought care at health center,,,,Previous diarrheal care,http://purl.obolibrary.org/obo/EUPATH_0010013,E32: Health care utilization. On what day of the child's diarrhea did you seek care t the sentinel hospital/health center. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,"Does all E32, E33 variabes associated with 'Previous diarrheal care'?",
253,140,,q32_dayseek,gems1_huas_data.sas7bdat,Sought care on day 1-7 of diarrhea,,,,Previous diarrheal care,http://purl.obolibrary.org/obo/EUPATH_0010013,E32.1: Health care utilization. Sought care at sentinel health facility on day 0-7 of diarrhea. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea",,,
25,141,,carerec1,gems1_huas_data.sas7bdat,Health center code 1,,,,,,E33: Health care utilization. Health center 1 code (mention sentinel health center listed in E31.3). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,drop now,,
22,142,,care1_op,gems1_huas_data.sas7bdat,Opinion of care received at health center 1,,,,,,E33.1: Health care utilization. What is your opinion of the care your child received at sentinel health center 1. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",drop now,,
26,143,,carerec2,gems1_huas_data.sas7bdat,Health center code 2,,,,,,E33.2: Health care utilization. Health center 2 code (mention sentinel health center listed in E31.4). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,drop now,,
23,144,,care2_op,gems1_huas_data.sas7bdat,Opinion of care received at health center 2,,,,,,E33.3: Health care utilization. What is your opinion of the care your child received at sentinel health center 2. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",drop now,,
27,145,,carerec3,gems1_huas_data.sas7bdat,Health center code 3,,,,,,E33.4: Health care utilization. Health center 3 code (mention sentinel health center listed in E31.5). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,drop now,,
24,146,,care3_op,gems1_huas_data.sas7bdat,Opinion of care received at health center 3,,,,,,E33.5: Health care utilization. What is your opinion of the care your child received at sentinel health center 3. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",drop now,,
1,147,,admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Admitted to hospital ,http://purl.obolibrary.org/obo/EUPATH_0010345,,,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,"E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=NOT IN CODEBOOK, 9=NOT IN CODEBOOK, NA=NA",,,
161,148,,iv_hosp,gems1_huas_data.sas7bdat,IV & hospital admission,,,,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,E34.1: Health care utilization. IV & hospital admission. Only complete for children who had diarrhea in the last 2 weeks,"1=IV only, 2=Hospital admission only, 3=IV & hospital admission, 4=Neither, 5=Unknown",,,
2,149,,admit_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Hospital admitted 1st choice,,,,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,E35: Health care utilization. To which hospital was the child admitted (health facility code for center of 1st choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,
4,150,,admit_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Hospital admitted 2nd choice,,,,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,E35.1: Health care utilization. To which hospital was the child admitted (health facility code for center of 2nd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,
6,151,,admit_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Hospital admitted 3rd choice,,,,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,E35.2: Health care utilization. To which hospital was the child admitted (health facility code for center of 3rd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,
8,152,,advise,gems1_huas_data.sas7bdat,Advised to take child to a hospital/health center,,,,Previous diarrheal care,http://purl.obolibrary.org/obo/EUPATH_0010013,"E36: Health care utilization. If the child did not receive care at a hospital/health center, were you advised to take him/her to a hospital/health center. Skip if E34=yes. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E38, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,
184,153,,nohosp,gems1_huas_data.sas7bdat,Most important reason child not taken to the hospital,,,,Previous diarrheal care,http://purl.obolibrary.org/obo/EUPATH_0010013,E37: Health care utilization. What was the single most important reason that the child not taken to the hospital. Skip if E36=no. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Hospital too far from home, 10=Other, specify, 2=Unable to find transport, 3=Cost for travel too high, 4=Could not take time off from work, 5=Local situation (weather, natural, or political reasons), 6=Cost for treatment too high, 7=Other children at home could not be left alone, 8=Did not think child was sick enough, 9=Not happy with care provided at the hospital, NA=NA",,,
,154,,,,Diarrheal home treatment prior to seeking care,http://purl.obolibrary.org/obo/EUPATH_0010378,,,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,E38 Category,"Can we reuse GEMS ""Diarrhea treatment before visit"" here?",
135,155,,hometrt_ors,gems1_huas_data.sas7bdat,ORALITE or ORS ,http://purl.obolibrary.org/obo/EUPATH_0015082,,,Diarrheal home treatment prior to seeking care,http://purl.obolibrary.org/obo/EUPATH_0010378,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? A fluid made from a special packet called ORALITE or ORS. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
131,156,,hometrt_herbal,gems1_huas_data.sas7bdat,Home remedy/herbal medication,http://purl.obolibrary.org/obo/EUPATH_0015085,,,Diarrheal home treatment prior to seeking care,http://purl.obolibrary.org/obo/EUPATH_0010378,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Home remedy/herbal mediction. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
132,157,,hometrt_maize,gems1_huas_data.sas7bdat,Homemade fluid ,http://purl.obolibrary.org/obo/EUPATH_0015083,,,Diarrheal home treatment prior to seeking care,http://purl.obolibrary.org/obo/EUPATH_0010378,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Homemade fluid (ex: thin watery porridge made from maize, rice, or wheat; soup; sugar/salt water solution; yogurt-based drink). Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
133,158,,hometrt_milk,gems1_huas_data.sas7bdat,Special milk or infant formula ,http://purl.obolibrary.org/obo/EUPATH_0015084,,,Diarrheal home treatment prior to seeking care,http://purl.obolibrary.org/obo/EUPATH_0010378,"E38: Health care utilization. Multifilter: When the child had diarrhea, was he/she given any of the following at home before seeking care outside of the house? Special milk or infant formula. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks","0=No, 1=Yes, NA=NA",Multifilter,,
