colOrder,variable,IRI,label,definition,parentIRI,parentLabel,category,dataset,codebookDescription,notesForOnt,values,multifilter,duplicated,notesForDL,,
137,mc_why_no_bednet___11,,Cannot hang it over my sleeping place,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 11. Cannot hang it over my sleeping place",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
138,mc_why_no_bednet___12,,Sleep outside,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 12. Sleep outside",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
139,mc_why_no_bednet___13,,Change my sleeping place too often,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 13. Change my sleeping place too often",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
140,mc_why_no_bednet___14,,Don't know,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 14. Do not know",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
141,mc_why_no_bednet___15,,Other,,,Reason for no household bednets,Observation,Household member,"Q16. If none, what is the reason you do not have a bed net in your house? 15. Other",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
,,,Reason for no household bednets,"If there are no bednets in the house, the reason why",EUPATH_0021097,Personal vector intervention,Observation,,"If none, what is the reason you do not have a bed net in your house? ",,,yes,,,,
142,mc_sleep_bednet,,Use bednet,Does the participant sleep under a bednet,EUPATH_0021097,Personal vector intervention,Observation,Household member,Q17. Do you sleep under a bed net?,,binary,value,chld_mc_bednet_child,,,
143,mc_no_sleep_bednet___1,,It is too hot under the net,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 1. It is too hot under the net",,binary,value,chld_mc_why_no_bednet___1,,,
144,mc_no_sleep_bednet___2,,"Net is old, dirty or needs to be retreated",,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 2. Net is old, dirty or needs to be retreated",,binary,value,chld_mc_why_no_bednet___2,,,
145,mc_no_sleep_bednet___3,,There is not enough space under the net,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 3. There is not enough space under the net",,binary,value,chld_mc_why_no_bednet___3,,,
146,mc_no_sleep_bednet___4,,There are not enough bed nets for everyone,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 4. There are not enough bed nets for everyone",,binary,value,chld_mc_why_no_bednet___4,,,
147,mc_no_sleep_bednet___5,,It does not protect against mosquitoes,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 5. It does not protect against mosquitoes",,binary,value,chld_mc_why_no_bednet___5,,,
148,mc_no_sleep_bednet___6,,No mosquitoes around,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 6. No mosquitoes around",,binary,value,chld_mc_why_no_bednet___6,,,
149,mc_no_sleep_bednet___7,,It is for only children and pregnant women,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 7. It is for only children and pregnant women",,binary,value,,,,
150,mc_no_sleep_bednet___8,,It is too expensive,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 8. It is too expensive",,binary,value,chld_mc_why_no_bednet___8,,,
151,mc_no_sleep_bednet___9,,It is not the rainy or malaria season,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 9. It is not the rainy or malaria season",,binary,value,chld_mc_why_no_bednet___9,,,
152,mc_no_sleep_bednet___10,,Cannot hang it over my sleeping place,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 10. Cannot hang it over my sleeping place",,binary,value,chld_mc_why_no_bednet___10,,,
153,mc_no_sleep_bednet___11,,Sleep outside,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 11. Sleep outside",,binary,value,chld_mc_why_no_bednet___11,,,
154,mc_no_sleep_bednet___12,,Change my sleeping place too often,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 12. Change my sleeping place too often",,binary,value,chld_mc_why_no_bednet___12,,,
155,mc_no_sleep_bednet___13,,Net is itchy,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 13. Net is itchy",,binary,value,chld_mc_why_no_bednet___13,,,
156,mc_no_sleep_bednet___14,,Don't know,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 14. Do not know",,binary,value,chld_mc_why_no_bednet___14,,,
157,mc_no_sleep_bednet___15,,Other,,,Reason for not using a bednet,Observation,Household member,"Q18. If NO, why not? 15. Other",,binary,value,chld_mc_why_no_bednet___15,,,
,,,Reason for not using a bednet,"If participant does not use a bednet, the reason why",EUPATH_0021097,Personal vector intervention,Observation,,,,,yes,,,,
158,mc_time_own_bednet,,Time owned personal bednet,"If participant uses a bednet, length of time they've owned it",EUPATH_0021097,Personal vector intervention,Observation,Household member,Q19. How long have you owned the bed net that you sleep under?,,"1. < 1 month
2. 1 month - 1 year
3. 2-5 years
4. >5 years
5. Do not know",,chld_mc_time_own_bednet,,,
159,mc_last_treat_bednet,,Last personal bednet treatment,"If participant uses a bednet, last time it was treated with insecticide",EUPATH_0021097,Personal vector intervention,Observation,Household member,Q20. When was the last time you treated your bed net?,,"1. <1 month ago
2. 2-5 months ago
3. 6-12 months
4. Greater than 1 year
5. Never treated
6. Does not need to be retreated
7. Do not know",,chld_mc_last_treat_bednet,,,
160,mc_wash_bednet,,Number of times bednet washed ,"If participant uses a bednet, number of times it has been washed",EUPATH_0021097,Personal vector intervention,Observation,Household member,Q21. How many times have you washed your bed net?,"map both the original variable and ""dk"" variable to the same label",,,chld_mc_wash_bednet,,,
161,mc_wash_bednet_dk,,Number of times bednet washed ,"If participant uses a bednet, number of times it has been washed",EUPATH_0021097,Personal vector intervention,Observation,Household member,Q21a. Participant DOES NOT KNOW how many times bed net has been washed:,"map both the original variable and ""dk"" variable to the same label",,,chld_mc_wash_bednet_dk,,,
162,mc_bednet_over_bed,,Bednet over bed,"If participant uses a bednet, does it hang over a bed",EUPATH_0021097,Personal vector intervention,Observation,Household member,Q22. Please ask to see the bednet that the participant sleeps under and document the answers to the following questions: a. Is the bednet hanging over the bed?,,2 - Do not know,,chld_mc_bednet_over_bed,,,
163,mc_bednet_brand,,Bednet brand,"If participant uses a bednet, the bednet brand",EUPATH_0021097,Personal vector intervention,Observation,Household member,b. What is the brand of bednet?,,"1	PermaNet 2.0
2	PermaNet 3.0
3	PermaNet (version not known)
4	Mama Safenite
5	Other - please describe below
6	Olyset
7	NETPROTECT",,chld_mc_bednet_brand,,,
164,mc_bednet_cond,,Bednet condition,"If participant uses a bednet, the bednet condition as assessed by the interviewer",EUPATH_0021097,Personal vector intervention,Observation,Household member,c. What is the condition of the bed net?,,"1	New
2	Used
3	Well Used",,chld_mc_bednet_cond,,,
165,mc_net_holes_2cm,,Bednet holes <2 cm count,Number of holes in bednet smaller than a thumb (0.5 to 2.0 cm),EUPATH_0021097,Personal vector intervention,Observation,Household member,d. How many holes are in there in the bed net of each of these sizes? (Do not count holes smaller than 0.5 cm)Smaller than a thumb (0.5 to 2.0 cm),,,,chld_mc_net_holes_2cm,,,
166,mc_net_holes_10cm,,Bednet holes <10 cm count,Number of holes in bednet larger than a thumb but smaller than a fist (2 to 10 cm),EUPATH_0021097,Personal vector intervention,Observation,Household member,d. How many holes are in there in the bed net of each of these sizes? (Do not count holes smaller than 0.5 cm)Larger than a thumb but smaller than a fist (2 to 10 cm),,,,chld_mc_net_holes_10cm,,,
167,mc_net_holes_25cm,,Bednet holes <25 cm count,Number of holes in bednet larger than a fist but smaller than a head (10 to 25 cm),EUPATH_0021097,Personal vector intervention,Observation,Household member,d. How many holes are in there in the bed net of each of these sizes? (Do not count holes smaller than 0.5 cm)Larger than a fist but smaller than a head (10 to 25 cm),,,,chld_mc_net_holes_25cm,,,
168,mc_net_holes_gt25cm,,Bednet holes >25 cm count,Number of holes in bednet larger than a head (> 25 cm),EUPATH_0021097,Personal vector intervention,Observation,Household member,d. How many holes are in there in the bed net of each of these sizes? (Do not count holes smaller than 0.5 cm)Larger than a head (> 25 cm),,,,chld_mc_net_holes_gt25cm,,,
169,mc_bednet_repairs,,Bednet repaired,"If participant uses a bednet, have any repairs been made to the net",EUPATH_0021097,Personal vector intervention,Observation,Household member,e. Have any repairs been made to the bed net?,,binary,,chld_mc_bednet_repairs,,,
170,mc_house_spray,,Indoor residual spraying (IRS),Inside of participant's house has been sprayed with insecticide for mosquitoes before. Excludes use of DOOM to collect mosquitos in this study,EUPATH_0021097,Personal vector intervention,Observation,Household member,Q23. Has the inside of your house ever been sprayed with insecticide for mosquitoes? This does not include the DOOM we may have used to collect mosquitoes.,Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,"1	Yes
0	No
2	Do not know",,chld_mc_house_spray,,,
171,mc_house_spray_time,EUPATH_0000390,Last fumigation date,"If home has been sprayed, last time it was done",EUPATH_0021097,Personal vector intervention,Observation,Household member,"Q24. If YES, when was the last time it was sprayed?",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,"1. ? 1 month ago
2. 2-6 months ago
3. Greater than 6 months ago
4. Do not know",,chld_mc_house_spray_time,,,
172,mc_refuse_spray,,IRS refused,"If home was not sprayed, was spraying refused",EUPATH_0021097,Personal vector intervention,Observation,Household member,"Q24.1 If NO, did you refuse to have your house sprayed?",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,"1	Yes
0	No
2	Do not know",,,,,
173,mc_refuse_spray_why___1,,Not at home at the time of spraying,,,Reason for refusing IRS,Household,Household member,"Q24.2 If YES, why did you not have your house sprayed?1. Not at home at the time of spraying",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
174,mc_refuse_spray_why___2,,Do not like the smell,,,Reason for refusing IRS,Household,Household member,"Q24.2 If YES, why did you not have your house sprayed?2. Do not like the smell",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
175,mc_refuse_spray_why___3,,Did not want to move my household belongings outside,,,Reason for refusing IRS,Household,Household member,"Q24.2 If YES, why did you not have your house sprayed?3. Did not want to move my household belongings outside",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
176,mc_refuse_spray_why___4,,Do not think spraying works,,,Reason for refusing IRS,Household,Household member,"Q24.2 If YES, why did you not have your house sprayed?4. Do not think spraying works",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
177,mc_refuse_spray_why___5,,Don't know,,,Reason for refusing IRS,Household,Household member,"Q24.2 If YES, why did you not have your house sprayed?5. Do not know",Place under Observation for now. Data providers indicated question was asked of multiple hh members and answers might differ if there was more than one sleeping place,binary,value,,,,
,,,Reason for refusing IRS,"If IRS was refused, reason for refusing",EUPATH_0021097,Personal vector intervention,Observation,,,,,yes,,,,
178,hh_currently_emp,,Head of household employed,Head of household has permanent employment. Asked only of participants >= 16 years old,,,,Household member,Q25. Is the head of your household in permanent employment?,,binary,,,,,
179,hh_educ_level,,Education level of head of household,Asked only of participants >= 16 years old,,,,Household member,Q26. What is the highest level of school the head of household attended?,,"1. Primary
2. Secondary
3. Higher",,,,,
180,hh_water_src,ENVO_00003064,Drinking water source,Main source of drinking water for the household,EUPATH_0000731,Household water,Household,Household member,Q27. What is the main source of drinking water for your household?,,"1. Piped water
2. Bore hole (or bush pump)
4. Open well
5. Surface water
6. Stream/pond",,,,,
181,hh_cook_energy,EUPATH_0000023,Cooking fuel,Main source of energy for cooking. Asked only of participants >= 16 years old,EUPATH_0000302,Dwelling facilities,Household,Household member,Q28. What is the main source of energy used for cooking?,,"1. Electricity
2. Gas
3. Solar
4. Paraffin/Kerosene
5. Coal/charcoal/wood
6. Dung
7. Other:",,,,,
,,EUPATH_0000302,Dwelling facilities,,PCO_0000024,Household,Household,,,,,,,,,
,,EUPATH_0000731,Household water,,PCO_0000024,Household,Household,,,,,,,,,
182,hhloor_matl,EUPATH_0000006,Floor material,Main material making up the floor of the house,EUPATH_0000303,Dwelling chacteristics,Household,Household member,Q29. What is the main material of the floor of your home?,,"1. Natural (earth, mud, dung)
2. Rudimentary (wood, planks)
3. Finished flooring (parquet, tiles, brick, ceramic, concrete, carpet)",,,,,
,,EUPATH_0000303,Dwelling chacteristics,,PCO_0000024,Household,Household,,,,,,,,,
183,hh_appliance___1,ENVO_01000577,Radio,,EUPATH_0000144,Assets,Household,Household member,Q30. Does your household have any of the following? 1. Radio,,binary,value,,,,
184,hh_appliance___2,ENVO_01000579,Television,,EUPATH_0000144,Assets,Household,Household member,Q30. Does your household have any of the following? 2. Television,,binary,value,,,,
185,hh_appliance___3,ENVO_01000583,Refrigerator,,EUPATH_0000144,Assets,Household,Household member,Q30. Does your household have any of the following? 3. Refrigerator,,binary,value,,,,
186,hh_appliance___4,ENVO_01000581,Mobile phone,,EUPATH_0000144,Assets,Household,Household member,Q30. Does your household have any of the following? 4. Mobile phone,,binary,value,,,,
187,hh_appliance___5,,Solar panels,,EUPATH_0000144,Assets,Household,Household member,Q30. Does your household have any of the following? 5. Solar panels,,binary,value,,,,
188,hh_appliance___0,,Household appliances,,EUPATH_0000304,Socioeconomic factors,Household,Household member,Q30. Does your household have any of the following? None of these items,,binary,,,requires flipping the coding,,
189,hh_transport___1,ENVO_01000614,Bicycle,,EUPATH_0000144,Assets,Household,Household member,Q31. Does any member of your household own any of the following? 1. Bicycle,,binary,value,,,,
190,hh_transport___2,ENVO_01000615,Motorcycle or scooter,,EUPATH_0000144,Assets,Household,Household member,Q31. Does any member of your household own any of the following? 2. Motorcycle/scooter,,binary,value,,,,
191,hh_transport___3,EUPATH_0000171,Car or truck,,EUPATH_0000144,Assets,Household,Household member,Q31. Does any member of your household own any of the following? 3. Car or truck,,binary,value,,,,
192,hh_transport___0,,Household vehicles,,EUPATH_0000304,Socioeconomic factors,Household,Household member,Q31. Does any member of your household own any of the following? None of these items,,binary,,,requires flipping the coding,,
,,EUPATH_0000144,Assets,Does the household have any of the following:,EUPATH_0000304,Socioeconomic factors,Household,,,,,yes,,,,
,,EUPATH_0000304,Socioeconomic factors,,PCO_0000024,Household,Household,,,,,,,,,
193,mv_did_sleep_away,,Slept elsewhere in last 4 weeks,Slept overnight in a location away from home in the past 4 weeks,EUPATH_0000340,Travel details,Observation,Household member,Did you sleep overnight in a location away from your home during the past 4 weeks?,,binary,,chld_mv_did_sleep_away,,,
194,mv_number_trips,,Trips in last 4 weeks (count),"If slept elsewhere in last 4 weeks, number of times traveled in last 4 weeks",EUPATH_0000340,Travel details,Observation,Household member,"If yes, how many times did you travel?",,,,chld_mv_number_trips,,,
195,mv_number_nights,,Nights slept elsewhere (count),"If slept elsewhere in last 4 weeks, number of nights away on most recent trip",EUPATH_0000340,Travel details,Observation,Household member,How many nights did you sleep away from your home while traveling on your most recent trip?,,,,chld_mv_number_nights,,,
196,mv_travel_purpose___1,,Job or formal work,,,Reason for travel,Observation,Household member,32.8 What was the purpose of your most recent travel?1. Job or formal work,,binary,value,,,,
197,mv_travel_purpose___2,,To buy or sell,,,Reason for travel,Observation,Household member,32.8 What was the purpose of your most recent travel?2. To buy or sell,,binary,value,,,,
198,mv_travel_purpose___3,,Wedding,,,Reason for travel,Observation,Household member,32.8 What was the purpose of your most recent travel?3. Wedding,,binary,value,,,,
199,mv_travel_purpose___4,,Funeral,,,Reason for travel,Observation,Household member,32.8 What was the purpose of your most recent travel?4. Funeral,,binary,value,,,,
200,mv_travel_purpose___5,,Visit family or friends,,,Reason for travel,Observation,Household member,32.8 What was the purpose of your most recent travel?5. Visit family or friends,,binary,value,,,,
201,mv_travel_purpose___6,,Holiday,,,Reason for travel,Observation,Household member,32.8 What was the purpose of your most recent travel?6. Holiday,,binary,value,,,,
202,mv_travel_purpose___7,,School,,,Reason for travel,Observation,Household member,32.8 What was the purpose of your most recent travel?7. School,,binary,value,,,,
203,mv_travel_purpose___8,,Health care,,,Reason for travel,Observation,Household member,32.8 What was the purpose of your most recent travel?8. Health Care,,binary,value,,,,
204,mv_travel_purpose___9,,Other,,,Reason for travel,Observation,Household member,32.8 What was the purpose of your most recent travel?9. Other,,binary,value,,,,
,,,Reason for travel,Purpose of the most recent travel. Asked only of participants >= 16 years old,EUPATH_0000340,Travel details,Observation,,What was the purpose of your most recent travel?,,,yes,,,,
205,mv_sleep_home_type___1,,Family or friends,,,Overnight lodgings ,Observation,Household member,32.9 In which type of home did you sleep overnight?1. Family or friends,,binary,,chld_mv_sleep_home_type___1,,,
206,mv_sleep_home_type___2,,"Rest house, guest house, lodge or motel",,,Overnight lodgings ,Observation,Household member,"32.9 In which type of home did you sleep overnight?2. Rest house, guest house, lodge or motel",,binary,,chld_mv_sleep_home_type___2,,,
207,mv_sleep_home_type___3,,School,,,Overnight lodgings ,Observation,Household member,32.9 In which type of home did you sleep overnight?3. School,,binary,,chld_mv_sleep_home_type___3,,,
208,mv_sleep_home_type___4,,Church,,,Overnight lodgings ,Observation,Household member,32.9 In which type of home did you sleep overnight?4. Church,,binary,,chld_mv_sleep_home_type___4,,,
209,mv_sleep_home_type___5,,Outdoors,,,Overnight lodgings ,Observation,Household member,32.9 In which type of home did you sleep overnight?5. Outdoors,,binary,,chld_mv_sleep_home_type___5,,,
210,mv_sleep_home_type___6,,Other: specify,,,Overnight lodgings ,Observation,Household member,32.9 In which type of home did you sleep overnight?6. Other: specify,,binary,,chld_mv_sleep_home_type___6,,,
,,,Overnight lodgings,"If slept elsewhere in last 4 weeks, type of lodgings on most recent trip",EUPATH_0000340,Travel details,Observation,, In which type of home did you sleep overnight?,,,,,,,
,,EUPATH_0000340,Travel details,,EUPATH_0000738,Observation,Observation,,,,,,,,,
211,mv_mal_diag_return,,Malaria diagnosed after traveling,"If slept elsewhere in last 4 weeks, diagnosed with malaria following return from most recent trip",,,Observation,Household member,"After returning from your most recent trip, were you diagnosed with malaria?",,binary,,chld_mv_mal_diag_return,,,
212,mv_mal_diag_after_days,,Time to diagnosis (days),"If diagnosed with malaria following return from most recent trip, the number of days between returning home and being diagnosed",,,Observation,Household member,"If yes, how many days after returning home were you diagnosed with malaria?",,,,chld_mv_mal_diag_after_days,,,
213,mv_mal_diag_after_days_dk___1,,Time to diagnosis (days),"If diagnosed with malaria following return from most recent trip, the number of days between returning home and being diagnosed",,,Observation,Household member,,,1 - Don't remember,,chld_mv_mal_diag_aft_v_0,,,
214,dia_start,,Time since diarrhea onset,"If the participant had diarrhea in the past 2 weeks, how many days ago it started",,,Observation,Household member,How many days ago did the diarrhea start?,,,,chld_dia_start,,,
215,dia_stop,,Diarrhea stopped,"If the participant had diarrhea in the past 2 weeks, did it stop",,,Observation,Household member,Did the diarrhea stop?,,"0 - no, 1 - yes, 2 - Don't know",,chld_dia_stop,,,
216,dia_stop_days,,Time since diarrhea stopped,"If the participant's diarrhea stopped, how many days ago it stopped",,,Observation,Household member,"If yes, how many days ago did the diarrhea stop?",,,,chld_dia_stop_days,,,
217,dia_blood,,Blood in stool,"If the participant had diarrhea in the past 2 weeks, was there blood in the stool",,,Observation,Household member,Did you pass blood in the stool with the diarrhea?,,"0 - no, 1 - yes, 2 - Don't know",,chld_dia_blood,,,
218,dia_fever,,Fever and diarrhea,"If the participant had diarrhea in the past 2 weeks, was there also a fever",,,Observation,Household member,Did you have fever with the diarrhea?,,"0 - no, 1 - yes, 2 - Don't know",,chld_dia_fever,,,
219,dia_vomit,,Vomiting and diarrhea,"If the participant had diarrhea in the past 2 weeks, was there also vomiting",,,Observation,Household member,Did you have vomiting with the diarrhea?,,"0 - no, 1 - yes, 2 - Don't know",,chld_dia_vomit,,,
220,dia_loose_num,EUPATH_0010240,Max loose stools per day,"If the participant had diarrhea in the past 2 weeks, the highest number of loose or watery stools passed on any day during the illness",EUPATH_0010016,Diarrheal episodes,Observation,Household member,What was the highest number of loose or watery stools passed on any day during the illness?,,,,chld_dia_loose_num,,,
221,dia_loose_num_dk,EUPATH_0010240,Max loose stools per day,"If the participant had diarrhea in the past 2 weeks, the highest number of loose or watery stools passed on any day during the illness",EUPATH_0010016,Diarrheal episodes,Observation,Household member,Participant DOES NOT KNOW highest number of loose or watery stools passed on any day during the ,,2 - Don't know,,chld_dia_loose_num_dk,,,
222,dia_seek,,Seek diarrhea care,"If the participant had diarrhea in the past 2 weeks, did they seek advice or treatment from outside the home",,,Observation,Household member,Q38. Did you seek advice or treatment outside home?,,"0 - no, 1 - yes, 2 - Don't know",,chld_dia_seek,,,
223,dia_seek_whom,,Diarrhea care source,"If the participant sought advice or treatment for diarrhea, where they sought treatment",,,Observation,Household member,From whom did you seek advice or treatment?,,"1. Health post
2. Health center
3. Hospital
4. Traditional healer
5. Had it in the home
6. Relative or friend
7. Local chemist, shop or market
8. Do not know
9. Other",,chld_dia_seek_whom,,,
224,rdt_results,,"Plasmodium parasites present, by RDT",The ICT Diagnostics RDT for P. falciparum was used around 2013 in Zambia and 2014 in Zimbabwe. The SD BIOLINE Malaria Ag P.f was used around 2014 in Zambia and 2015 in Zimbabwe. ,NCBITaxon_5820,Plasmodium,Sample,Household member,Document the RDT result:,,"0	Negative
1	Positive
2	Not done",,chld_rdt_results,,,
225,hemo_results,EUPATH_0000047,Hemoglobin (g/dL),,EUPATH_0011795,Blood test,Sample,Household member,Document hemoglobin result:,,,,chld_hemo_results,,,
226,temp_results,EUPATH_0000110,Temperature (C),,OGMS_0000083,Physical examination,Observation,Household member,Measure and record participant’s temperature: ©,,,,chld_temp_results,,,
227,weight_results,EUPATH_0000732,Weight (kg),,EUPATH_0000649,Anthropometry ,Observation,Household member,Measure and record participant?s weight: (kg),,,,chld_weight_results,,,
,,OGMS_0000083,Physical examination,,EUPATH_0000738,Observation,Observation,,,,,,,,,
,,EUPATH_0000649,Anthropometry ,,EUPATH_0000738,Observation,Observation,,,,,,,,,
228,rdt_treat_male,EUPATH_0000740,Malaria treatment,,OGMS_0000090,Treatment,Observation,Household member,"If the participant is RDT positive and male, he should be offered treatment with Coartem.",,"1	Treated with Coartem
2	Refused Treatment",,"rdt_treat_preg, rdt_treat_not_preg, and chld_rdt_treat_child",,,
229,rdt_treat_female,,Pregnant,"If female, is the participant pregnant. Asked only of participants >= 16",,,Observation,Household member,"If the participant is RDT positive and female, she should be offered treatment with Coartem. Before we treat her, we must ask her if she is pregnant. The treatment will be different if she is pregnant. You pregnant?",,binary,,,,,
230,rdt_treat_preg,EUPATH_0000740,Malaria treatment,,OGMS_0000090,Treatment,Observation,Household member,If the participant says she is pregnant:,,"1	Treated with quinine ONLY
2	Treated with clindamycin ONLY
3	Treated with BOTH quinine and clindamycin
4	Refused Treatment",,"rdt_treat_male, rdt_treat_not_preg, and chld_rdt_treat_child",,,
231,rdt_treat_not_preg,EUPATH_0000740,Malaria treatment,,OGMS_0000090,Treatment,Observation,Household member,If the participant says she is NOT pregnant,,"1	Treated with Coartem
2	Refused Treatment",,"rdt_treat_male, rdt_treat_preg, and chld_rdt_treat_child",,,
232,chld_symp_fever,,Fever,,,Symptoms in past day,Observation,Household member,,,,value,symp_fever,,,
233,chld_symp_headache,,Headache,,,Symptoms in past day,Observation,Household member,,,,value,symp_headache,,,
234,chld_symp_chills,,Chills,,,Symptoms in past day,Observation,Household member,,,,value,symp_chills,,,
235,chld_symp_nausvom,,Vomiting,,,Symptoms in past day,Observation,Household member,,,,value,symp_nausvom,,,
236,chld_symp_diarrhea,,Diarrhea,,,Symptoms in past day,Observation,Household member,,,,value,symp_diarrhea,,,
237,chld_symp_cough,,Cough,,,Symptoms in past day,Observation,Household member,,,,value,symp_cough,,,
238,chld_illsymp_fever,,Fever,,,Symptoms in past two weeks,Observation,Household member,,,,value,illsymp_fever,,,
239,chld_illsymp_headache,,Headache,,,Symptoms in past two weeks,Observation,Household member,,,,value,illsymp_headache,,,
240,chld_illsymp_chills,,Chills,,,Symptoms in past two weeks,Observation,Household member,,,,value,illsymp_chills,,,
241,chld_illsymp_nausvom,,Vomiting,,,Symptoms in past two weeks,Observation,Household member,,,,value,illsymp_nausvom,,,
242,chld_illsymp_diarrhea,,Diarrhea,,,Symptoms in past two weeks,Observation,Household member,,,,value,illsymp_diarrhea,,,
243,chld_illsymp_cough,,Cough,,,Symptoms in past two weeks,Observation,Household member,,,,value,illsymp_cough,,,
244,chld_meds_month_yn,,Took antimalarial drugs,Took antimalarial medications in the last month,OGMS_0000090,Treatment,Observation,Household member,,,,,meds_month_yn,,,
245,chld_meds_when,,When antimalarial drugs were used,,OGMS_0000090,Treatment,Observation,Household member,,,,,meds_when,,,
246,chld_meds_month___1,,Herbal or traditional medicine,,,Antimalarial medications in past month,Observation,Household member,,,binary,value,meds_month___1,,,
247,chld_meds_month___2,,Chloroquine,,,Antimalarial medications in past month,Observation,Household member,,,binary,value,meds_month___2,,,
248,chld_meds_month___3,,Coartem,,,Antimalarial medications in past month,Observation,Household member,,,binary,value,meds_month___3,,,
249,chld_meds_month___4,,Quinine,,,Antimalarial medications in past month,Observation,Household member,,,binary,value,meds_month___4,,,
250,chld_meds_month___5,,Sulphadoxine/pyrimethamine (Fansidar),,,Antimalarial medications in past month,Observation,Household member,,,binary,value,meds_month___5,,,
251,chld_meds_month___6,,Don't know,,,Antimalarial medications in past month,Observation,Household member,,,binary,value,meds_month___6,,,
252,chld_meds_month___7,,Other,,,Antimalarial medications in past month,Observation,Household member,,,binary,value,meds_month___7,,,
253,chld_mal_meds_source___1,,Health post,,,Antimalarial medication source,Observation,Household member,,,binary,value,mal_meds_source___1,,,
254,chld_mal_meds_source___2,,Health center,,,Antimalarial medication source,Observation,Household member,,,binary,value,mal_meds_source___2,,,
255,chld_mal_meds_source___3,,Hospital,,,Antimalarial medication source,Observation,Household member,,,binary,value,mal_meds_source___3,,,
256,chld_mal_meds_source___4,,Traditional healer,,,Antimalarial medication source,Observation,Household member,,,binary,value,mal_meds_source___4,,,
257,chld_mal_meds_source___5,,Had it in the home,,,Antimalarial medication source,Observation,Household member,,,binary,value,mal_meds_source___5,,,
258,chld_mal_meds_source___6,,Relative or friend,,,Antimalarial medication source,Observation,Household member,,,binary,value,mal_meds_source___6,,,
259,chld_mal_meds_source___7,,"Local chemist, shop or market",,,Antimalarial medication source,Observation,Household member,,,binary,value,mal_meds_source___7,,,
260,chld_mal_meds_source___8,,Don't know,,,Antimalarial medication source,Observation,Household member,,,binary,value,mal_meds_source___8,,,
261,chld_mal_meds_source___9,,Other,,,Antimalarial medication source,Observation,Household member,,,binary,value,mal_meds_source___9,,,
262,chld_hlthctr_last_visit,,Last visit to health center,,,,Observation,Household member,,,,,hlthctr_last_visit,,,
263,chld_hlthctr_last_visit_post,,Last visit to health post,,,,Observation,Household member,,,,,hlthpost_last_visit,,,
264,chld_mc_bednet_child,,Use bednet,Does the participant sleep under a bednet,EUPATH_0021097,Personal vector intervention,Observation,Household member,,,,,mc_sleep_bednet,,,
265,chld_mc_why_no_bednet___1,,It is too hot under the net,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___1,,,
266,chld_mc_why_no_bednet___2,,"Net is old, dirty or needs to be retreated",,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___2,,,
267,chld_mc_why_no_bednet___3,,There is not enough space under the net,,,Reason for not using a bednet,Observation,Household member,,,binary,value,mc_no_sleep_bednet___3,,,
