variable,dataset,keepDiscard,notesForDL,values,codebookDescription,,
dia_seek_whom,Household member,Keep,,,Diarrhea in PAST 2 WEEKSQ39. From whom did you seek advice or treatment?,,
rdt_results,Household member,Keep,,,Q40. Document the RDT result:,,
hemo_results,Household member,Keep,,,Q41. Document hemoglobin result:,,
temp_results,Household member,Keep,,,Q42. Measure and record participant’s temperature:,,
weight_results,Household member,Keep,,,Q43. Measure and record participant?s weight:,,
rdt_treat_male,Household member,Keep,,,"If the participant is RDT positive and male, he should be offered treatment with Coartem.",,
rdt_treat_female,Household member,Keep,,binary,"If the participant is RDT positive and female, she should be offered treatment with Coartem. Before we treat her, we must ask her if she is pregnant. The treatment will be different if she is pregnant. you pregnant?",,
rdt_treat_preg,Household member,Keep,dependent on rdt_treat_female = 1,,If the participant says she is pregnant:,,
rdt_treat_not_preg,Household member,Keep,dependent on rdt_treat_female = 0,,If the participant says she is NOT pregnant:,,
chld_symp_fever,Household member,Keep,may want to merge with columns with adult data,,"Q5. In the past DAY, have you experienced any of the following symptoms?  Fever",,
chld_symp_headache,Household member,Keep,may want to merge with columns with adult data,,"Q5. In the past DAY, have you experienced any of the following symptoms? Headache",,
chld_symp_chills,Household member,Keep,may want to merge with columns with adult data,,"Q5. In the past DAY, have you experienced any of the following symptoms? Chills",,
chld_symp_nausvom,Household member,Keep,may want to merge with columns with adult data,,"Q5. In the past DAY, have you experienced any of the following symptoms? Vomiting",,
chld_symp_diarrhea,Household member,Keep,may want to merge with columns with adult data,,"Q5. In the past DAY, have you experienced any of the following symptoms? Diarrhea (> 3 loose/watery stools in 24 hours)",,
chld_symp_cough,Household member,Keep,may want to merge with columns with adult data,,"Q5. In the past DAY, have you experienced any of the following symptoms? Cough",,
chld_illsymp_fever,Household member,Keep,may want to merge with columns with adult data,,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Fever",,
chld_illsymp_headache,Household member,Keep,may want to merge with columns with adult data,,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Headache",,
chld_illsymp_chills,Household member,Keep,may want to merge with columns with adult data,,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Chills",,
chld_illsymp_nausvom,Household member,Keep,may want to merge with columns with adult data,,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Vomiting",,
chld_illsymp_diarrhea,Household member,Keep,may want to merge with columns with adult data,,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Diarrhea (> 3 loose/watery stools in 24 hours)",,
chld_illsymp_cough,Household member,Keep,may want to merge with columns with adult data,,"Q6. Excluding the past day, have you experienced any of the following symptoms in the past TWO WEEKS?  Cough",,
chld_meds_month_yn,Household member,Keep,may want to merge with columns with adult data,,Q7. Have you taken any medications for malaria in the past MONTH?,,
chld_meds_when,Household member,Keep,may want to merge with columns with adult data,,"Q8. If YES, when?",,
chld_meds_month___1,Household member,Keep,may want to merge with columns with adult data,binary,"Q9. If YES, what medications for malaria did you take? 1. Herbal or traditional medicine",,
chld_meds_month___2,Household member,Keep,may want to merge with columns with adult data,binary,"Q9. If YES, what medications for malaria did you take? 2. Chloroquine",,
chld_meds_month___3,Household member,Keep,may want to merge with columns with adult data,binary,"Q9. If YES, what medications for malaria did you take? 3. Coartem",,
chld_meds_month___4,Household member,Keep,may want to merge with columns with adult data,binary,"Q9. If YES, what medications for malaria did you take? 4. Quinine",,
chld_meds_month___5,Household member,Keep,may want to merge with columns with adult data,binary,"Q9. If YES, what medications for malaria did you take? 5. SP/Fansidar",,
chld_meds_month___6,Household member,Keep,may want to merge with columns with adult data,binary,"Q9. If YES, what medications for malaria did you take? 6. Don't know",,
chld_meds_month___7,Household member,Keep,may want to merge with columns with adult data,binary,"Q9. If YES, what medications for malaria did you take? 7. Other",,
chld_mal_meds_source___1,Household member,Keep,may want to merge with columns with adult data,binary,"Q10. If yes, where did you get the medications for malaria? 1. Health post",,
chld_mal_meds_source___2,Household member,Keep,may want to merge with columns with adult data,binary,"Q10. If yes, where did you get the medications for malaria? 2. Health center",,
chld_mal_meds_source___3,Household member,Keep,may want to merge with columns with adult data,binary,"Q10. If yes, where did you get the medications for malaria? 3. Hospital",,
chld_mal_meds_source___4,Household member,Keep,may want to merge with columns with adult data,binary,"Q10. If yes, where did you get the medications for malaria? 4. Traditional healer",,
chld_mal_meds_source___5,Household member,Keep,may want to merge with columns with adult data,binary,"Q10. If yes, where did you get the medications for malaria? 5. Had it in the home",,
chld_mal_meds_source___6,Household member,Keep,may want to merge with columns with adult data,binary,"Q10. If yes, where did you get the medications for malaria? 6. Relative or friend",,
chld_mal_meds_source___7,Household member,Keep,may want to merge with columns with adult data,binary,"Q10. If yes, where did you get the medications for malaria? 7. Local chemist, shop or market",,
chld_mal_meds_source___8,Household member,Keep,may want to merge with columns with adult data,binary,"Q10. If yes, where did you get the medications for malaria? 8. Do not know",,
chld_mal_meds_source___9,Household member,Keep,may want to merge with columns with adult data,binary,"Q10. If yes, where did you get the medications for malaria? 9. Other",,
chld_hlthctr_last_visit,Household member,Keep,may want to merge with columns with adult data,,Q12. When was the last time you visited the Health Center for malaria? ,,
chld_hlthctr_last_visit_post,Household member,Keep,may want to merge with columns with adult data,,Q14. When was the last time you visited the Health Post for malaria? ,,
chld_mc_bednet_child,Household member,Keep,may want to merge with columns with adult data,,Q17. Do you sleep under a bed net?,,
chld_mc_why_no_bednet___1,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 1. It is too hot under the net",,
chld_mc_why_no_bednet___2,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 2. Net is old, dirty or needs to be retreated",,
chld_mc_why_no_bednet___3,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 3. There is not enough space under the net",,
chld_mc_why_no_bednet___4,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 4. There are not enough bed nets for everyone",,
chld_mc_why_no_bednet___5,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 5. It does not protect against mosquitoes",,
chld_mc_why_no_bednet___6,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 6. No mosquitoes around",,
chld_mc_why_no_bednet___8,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 8. It is too expensive",,
chld_mc_why_no_bednet___9,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 9. It is not the rainy or malaria season",,
chld_mc_why_no_bednet___10,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 10. Cannot hang it over my sleeping place",,
chld_mc_why_no_bednet___11,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 11. Sleep outside",,
chld_mc_why_no_bednet___12,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 12. Change my sleeping place too often",,
chld_mc_why_no_bednet___13,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 13. Net is itchy",,
chld_mc_why_no_bednet___14,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 14. Do not know",,
chld_mc_why_no_bednet___15,Household member,Keep,may want to merge with columns with adult data,binary,"Q18. If NO, why not? 15. Other",,
chld_mc_time_own_bednet,Household member,Keep,may want to merge with columns with adult data,,Q19. How long have you owned the bed net that you sleep under?,,
chld_mc_last_treat_bednet,Household member,Keep,may want to merge with columns with adult data,,Q20. When was the last time you treated your bed net?,,
chld_mc_wash_bednet,Household member,Keep,may want to merge with columns with adult data,,Q21. How many times have you washed your bed net?,,
chld_mc_wash_bednet_dk,Household member,Keep,may want to merge with columns with adult data,,Q21a. Participant DOES NOT KNOW how many times bed net has been washed:,,
chld_mc_bednet_over_bed,Household member,Keep,may want to merge with columns with adult data,binary,Q22. Please ask to see the bednet that the participant sleeps under and document the answers to the following questions: a. Is the bednet hanging over the bed?,,
chld_mc_bednet_brand,Household member,Keep,may want to merge with columns with adult data,,b. What is the brand of bednet?,,
chld_mc_bednet_cond,Household member,Keep,may want to merge with columns with adult data,,c. What is the condition of the bed net?,,
chld_mc_net_holes_2cm,Household member,Keep,may want to merge with columns with adult data,,d. How many holes are in there in the bed net of each of these sizes? (Do not count holes smaller than 0.5 cm)Smaller than a thumb (0.5 to 2.0 cm),,
chld_mc_net_holes_10cm,Household member,Keep,may want to merge with columns with adult data,,d. How many holes are in there in the bed net of each of these sizes? (Do not count holes smaller than 0.5 cm)Larger than a thumb but smaller than a fist (2 to 10 cm),,
chld_mc_net_holes_25cm,Household member,Keep,may want to merge with columns with adult data,,d. How many holes are in there in the bed net of each of these sizes? (Do not count holes smaller than 0.5 cm)Larger than a fist but smaller than a head (10 to 25 cm),,
chld_mc_net_holes_gt25cm,Household member,Keep,may want to merge with columns with adult data,,d. How many holes are in there in the bed net of each of these sizes? (Do not count holes smaller than 0.5 cm)Larger than a head (> 25 cm),,
chld_mc_bednet_repairs,Household member,Keep,may want to merge with columns with adult data,binary,e. Have any repairs been made to the bed net?,,
chld_mc_house_spray,Household member,Keep,may want to merge with columns with adult data,,Q23. Has the inside of your house ever been sprayed with insecticide for mosquitoes? This does not include the DOOM we may have used to collect mosquitoes.,,
chld_mc_house_spray_time,Household member,Keep,may want to merge with columns with adult data,,"Q24. If YES, when was the last time it was sprayed?",,
chld_mv_did_sleep_away,Household member,Keep,may want to merge with columns with adult data,binary,Q32. Did you sleep overnight in a location away from your home during the past 4 weeks?,,
chld_mv_number_trips,Household member,Keep,may want to merge with columns with adult data,,"32.1 If yes, how many times did you travel?",,
chld_mv_number_nights,Household member,Keep,may want to merge with columns with adult data,,2.2 How many nights did you sleep away from your home while traveling on your most recent trip?,,
chld_mv_sleep_home_type___1,Household member,Keep,may want to merge with columns with adult data,binary,32.9 In which type of home did you sleep overnight?1. Family or friends,,
chld_mv_sleep_home_type___2,Household member,Keep,may want to merge with columns with adult data,binary,"32.9 In which type of home did you sleep overnight?2. Rest house, guest house, lodge or motel",,
chld_mv_sleep_home_type___3,Household member,Keep,may want to merge with columns with adult data,binary,32.9 In which type of home did you sleep overnight?3. School,,
chld_mv_sleep_home_type___4,Household member,Keep,may want to merge with columns with adult data,binary,32.9 In which type of home did you sleep overnight?4. Church,,
chld_mv_sleep_home_type___5,Household member,Keep,may want to merge with columns with adult data,binary,32.9 In which type of home did you sleep overnight?5. Outdoors,,
chld_mv_sleep_home_type___6,Household member,Keep,may want to merge with columns with adult data,binary,32.9 In which type of home did you sleep overnight?6. Other: specify,,
chld_mv_mal_diag_return,Household member,Keep,may want to merge with columns with adult data,binary,"32.10 After returning from your most recent trip, were you diagnosed with malaria?",,
chld_mv_mal_diag_after_days,Household member,Keep,may want to merge with columns with adult data,,"32.10.1 If yes, how many days after returning home were you diagnosed with malaria?",,
chld_mv_mal_diag_aft_v_0,Household member,Keep,may want to merge with columns with adult data,,"32.10.1 If yes, how many days after returning home were you diagnosed with malaria? Don't remember",,
chld_cough_fast,Household member,Keep,,,"Q17. When your child had a cough, did your child breathe faster than usual with short, fast breaths?",,
chld_cough_nose,Household member,Keep,,,Q18. Was the difficult breathing due to a problem in the chest or to a blocked or runny nose?,,
chld_cough_treat,Household member,Keep,,,Q19. Did you seek advice or treatment for the cough?,,
chld_cough_treat_where,Household member,Keep,,,Q20. Where did you seek advice or treatment?,,
chld_dia_start,Household member,Keep,may want to merge with columns with adult data,,Diarrhea in PAST 2 WEEKSQ32. How many days ago did the diarrhea start?,,
chld_dia_stop,Household member,Keep,may want to merge with columns with adult data,,Diarrhea in PAST 2 WEEKSQ33. Did the diarrhea stop?,,
chld_dia_stop_days,Household member,Keep,may want to merge with columns with adult data,,"Diarrhea in PAST 2 WEEKSQ33a. If yes, how many days ago did the diarrhea stop?",,
chld_dia_stop_days_dk,Household member,Keep,,,"Diarrhea in PAST 2 WEEKSQ33a. If yes, how many days ago did the diarrhea stop? Don't know",,
chld_dia_blood,Household member,Keep,may want to merge with columns with adult data,,Diarrhea in PAST 2 WEEKSQ34. Did you pass blood in the stool with the diarrhea?,,
chld_dia_fever,Household member,Keep,may want to merge with columns with adult data,,Diarrhea in PAST 2 WEEKSQ35. Did you have fever with the diarrhea?,,
chld_dia_vomit,Household member,Keep,may want to merge with columns with adult data,,Diarrhea in PAST 2 WEEKSQ36. Did you have vomiting with the diarrhea?,,
chld_dia_thirsty,Household member,Keep,,,Q26. Was the child very thirsty?,,
chld_dia_lethargic,Household member,Keep,,,Q27. Was the child lethargic or irritable?,,
chld_dia_sunken,Household member,Keep,,,Q28. Did your child have sunken eyes?,,
chld_dia_dehyd,Household member,Keep,,,Q29. Did your child have dehydration?,,
chld_dia_loose_num,Household member,Keep,may want to merge with columns with adult data,,Diarrhea in PAST 2 WEEKSQ37. What was the highest number of loose or watery stools passed on any day during the illness?,,
chld_dia_loose_num_dk,Household member,Keep,may want to merge with columns with adult data,,Diarrhea in PAST 2 WEEKSQ37a. Participant DOES NOT KNOW highest number of loose or watery stools passed on any day during the illness:,,
chld_dia_drink,Household member,Keep,,,Q31. How much did the child drink during this illness?,,
chld_dia_food,Household member,Keep,,,Q32. Did you offer the child food and did the child eat during this illness?,,
chld_dia_seek,Household member,Keep,may want to merge with columns with adult data,,Diarrhea in PAST 2 WEEKSQ38. Did you seek advice or treatment outside home?,,
chld_dia_seek_whom,Household member,Keep,may want to merge with columns with adult data,,Diarrhea in PAST 2 WEEKSQ39. From whom did you seek advice or treatment?,,
chld_rdt_results,Household member,Keep,may want to merge with columns with adult data,,Q40. Document the RDT result:,,
chld_hemo_results,Household member,Keep,may want to merge with columns with adult data,,Q41. Document hemoglobin result:,,
chld_temp_results,Household member,Keep,may want to merge with columns with adult data,,Q42. Measure and record participant’s temperature:,,
chld_weight_results,Household member,Keep,may want to merge with columns with adult data,,Q43. Measure and record participant?s weight:,,
chld_rdt_treat_child,Household member,Keep,,,"If the child is RDT positive, he or she must be treated with Coartem.",,
thk_par_pres_ex1,Household member,Keep,,binary,Section Header: Thick FilmAre malaria parasites present?,,
asex_par_ex1,Household member,Keep,,,Section Header: Thick FilmAsexual parasites: parasites/ 500 WBC,,
gametocyt_ex1,Household member,Keep,,,Section Header: Thick FilmGametocytes: gametocytes/ 500 WBC,,
num_wbc_ex1,Household member,Keep,,,Section Header: Thick FilmNumber of WBC counted,,
thn_par_pres_ex1,Household member,Keep,,binary,Section Header: Thin FilmAre malaria parasites present?,,
thn_species_ex1,Household member,Keep,,,Section Header: Thin FilmSpecies:,,
thk_par_pres_ex2,Household member,Keep,,binary,Section Header: Thick FilmAre malaria parasites present?,,
asex_par_ex2,Household member,Keep,,,Section Header: Thick FilmAsexual parasites: parasites/ 500 WBC,,
gametocyt_ex2,Household member,Keep,,,Section Header: Thick FilmGametocytes: gametocytes/ 500 WBC,,
num_wbc_ex2,Household member,Keep,,,Section Header: Thick FilmNumber of WBC counted,,
thn_par_pres_ex2,Household member,Keep,,binary,Section Header: Thin FilmAre malaria parasites present?,,
thn_species_ex2,Household member,Keep,,,Section Header: Thin FilmSpecies:,,
thk_par_pres_ex3,Household member,Keep,,binary,Section Header: Thick FilmAre malaria parasites present?,,
asex_par_ex3,Household member,Keep,,,Section Header: Thick FilmAsexual parasites: parasites/ 500 WBC,,
gametocyt_ex3,Household member,Keep,,,Section Header: Thick FilmGametocytes: gametocytes/ 500 WBC,,
num_wbc_ex3,Household member,Keep,,,Section Header: Thick FilmNumber of WBC counted,,
thn_par_pres_ex3,Household member,Keep,,binary,Section Header: Thin FilmAre malaria parasites present?,,
thn_species_ex3,Household member,Keep,,,Section Header: Thin FilmSpecies:,,
,,,,,,,
